"Label","Description","Units (preferred) or format","Category","Used In"
"GPP_DT_CUT_XX","Gross Primary Production, from Daytime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95);","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_DT_VUT_05","Gross Primary Production, from Daytime partitioning method, percentile 05 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_VUT_16","Gross Primary Production, from Daytime partitioning method, percentile 16 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_VUT_25","Gross Primary Production, from Daytime partitioning method, percentile 25 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_VUT_50","Gross Primary Production, from Daytime partitioning method, percentile 50 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_VUT_75","Gross Primary Production, from Daytime partitioning method, percentile 75 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_VUT_86","Gross Primary Production, from Daytime partitioning method, percentile 86 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_VUT_95","Gross Primary Production, from Daytime partitioning method, percentile 95 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_VUT_MEAN","Gross Primary Production, from Daytime partitioning method, average from GPP versions, each from corresponding NEE_VUT_XX version; average from 40 half-hourly GPP_DT_VUT_XX","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_DT_VUT_MEAN","Gross Primary Production, from Daytime partitioning method, average from GPP versions, each from corresponding NEE_VUT_XX version. average from 40 half-hourly GPP_DT_VUT_XX","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_VUT_REF","Gross Primary Production, from Daytime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation;","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_DT_VUT_REF","Gross Primary Production, from Daytime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_VUT_SE","Standard Error for Gross Primary Production, calculated as  (SD(GPP_DT_VUT_XX) / SQRT(40)); SE from 40 half-hourly GPP_DT_VUT_XX","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_DT_VUT_SE","Standard Error for Gross Primary Production, calculated as  (SD(GPP_DT_VUT_XX) / SQRT(40)). SE from 40 half-hourly GPP_DT_VUT_XX","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_VUT_USTAR50","Gross Primary Production, from Daytime partitioning method, based on NEE_VUT_USTAR50;","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_DT_VUT_USTAR50","Gross Primary Production, from Daytime partitioning method, based on NEE_VUT_USTAR50","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_VUT_XX","Gross Primary Production, from Daytime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95);","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_f","Gross primary production, i.e. influx to the land surface (μmol m-2 s-1 as NEE) (nighttime-based)","μmol m-2 s-1","","ReddyProc"
"GPP_NT_CUT_05","Gross Primary Production, from Nighttime partitioning method, percentile 05 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_CUT_16","Gross Primary Production, from Nighttime partitioning method, percentile 16 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_CUT_25","Gross Primary Production, from Nighttime partitioning method, percentile 25 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_CUT_50","Gross Primary Production, from Nighttime partitioning method, percentile 50 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_CUT_75","Gross Primary Production, from Nighttime partitioning method, percentile 75 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_CUT_86","Gross Primary Production, from Nighttime partitioning method, percentile 86 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_CUT_95","Gross Primary Production, from Nighttime partitioning method, percentile 95 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_CUT_MEAN","Gross Primary Production, from Nighttime partitioning method, average from GPP versions, each from corresponding NEE_CUT_XX version; average from 40 half-hourly GPP_NT_CUT_XX","µmolCO2 m-2 s-1","NIGHTTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_NT_CUT_MEAN","Gross Primary Production, from Nighttime partitioning method, average from GPP versions, each from corresponding NEE_CUT_XX version. average from 40 half-hourly GPP_NT_CUT_XX","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_CUT_REF","Gross Primary Production, from Nighttime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation;","µmolCO2 m-2 s-1","NIGHTTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_NT_CUT_REF","Gross Primary Production, from Nighttime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_CUT_SE","Standard Error for Gross Primary Production, calculated as  (SD(GPP_NT_CUT_XX) / SQRT(40)); SE from 40 half-hourly GPP_NT_CUT_XX","µmolCO2 m-2 s-1","NIGHTTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_NT_CUT_SE","Standard Error for Gross Primary Production, calculated as  (SD(GPP_NT_CUT_XX) / SQRT(40)). SE from 40 half-hourly GPP_NT_CUT_XX","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_CUT_USTAR50","Gross Primary Production, from Nighttime partitioning method, based on NEE_CUT_USTAR50;","µmolCO2 m-2 s-1","NIGHTTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_NT_CUT_USTAR50","Gross Primary Production, from Nighttime partitioning method, based on NEE_CUT_USTAR50","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_CUT_XX","Gross Primary Production, from Nighttime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95);","µmolCO2 m-2 s-1","NIGHTTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_NT_VUT_05","Gross Primary Production, from Nighttime partitioning method, percentile 05 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_VUT_16","Gross Primary Production, from Nighttime partitioning method, percentile 16 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_VUT_25","Gross Primary Production, from Nighttime partitioning method, percentile 25 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_VUT_50","Gross Primary Production, from Nighttime partitioning method, percentile 50 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_VUT_75","Gross Primary Production, from Nighttime partitioning method, percentile 75 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_VUT_86","Gross Primary Production, from Nighttime partitioning method, percentile 86 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_VUT_95","Gross Primary Production, from Nighttime partitioning method, percentile 95 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_VUT_MEAN","Gross Primary Production, from Nighttime partitioning method, average from GPP versions, each from corresponding NEE_VUT_XX version; average from 40 half-hourly GPP_NT_VUT_XX","µmolCO2 m-2 s-1","NIGHTTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_NT_VUT_MEAN","Gross Primary Production, from Nighttime partitioning method, average from GPP versions, each from corresponding NEE_VUT_XX version. average from 40 half-hourly GPP_NT_VUT_XX","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_VUT_REF","Gross Primary Production, from Nighttime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation;","µmolCO2 m-2 s-1","NIGHTTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_NT_VUT_REF","Gross Primary Production, from Nighttime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_VUT_SE","Standard Error for Gross Primary Production, calculated as  (SD(GPP_NT_VUT_XX) / SQRT(40)); SE from 40 half-hourly GPP_NT_VUT_XX","µmolCO2 m-2 s-1","NIGHTTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_NT_VUT_SE","Standard Error for Gross Primary Production, calculated as  (SD(GPP_NT_VUT_XX) / SQRT(40)). SE from 40 half-hourly GPP_NT_VUT_XX","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_VUT_USTAR50","Gross Primary Production, from Nighttime partitioning method, based on NEE_VUT_USTAR50;","µmolCO2 m-2 s-1","NIGHTTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_NT_VUT_USTAR50","Gross Primary Production, from Nighttime partitioning method, based on NEE_VUT_USTAR50","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_NT_VUT_XX","Gross Primary Production, from Nighttime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95);","µmolCO2 m-2 s-1","NIGHTTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GS","Stomatal Conductance","mmol H2O m-2 s-1","",""
"GWL","Ground Water Level","m","",""
"H","Corrected sensible heat flux (no storage correction)","W m-2","",""
"H","Corrected sensible heat flux","W m-2","","EddyPro (_full_output_ file)"
"H","Sensible heat turbulent flux (no storage correction, cleaned)","W m-2","","ICOS"
"H_CORR","Sensible heat flux, corrected H_F_MDS by energy balance closure correction factor;","W m-2","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"H_CORR","Sensible heat flux, corrected H_F_MDS by energy balance closure correction factor","W m-2","","ICOS / FLUXNET"
"H_CORR_25","Sensible heat flux, corrected H_F_MDS by energy balance closure correction factor, 25th percentile;","W m-2","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"H_CORR_25","Sensible heat flux, corrected H_F_MDS by energy balance closure correction factor, 25th percentile","W m-2","","ICOS / FLUXNET"
"H_CORR_75","Sensible heat flux, corrected H_F_MDS by energy balance closure correction factor, 75th percentile;","W m-2","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"H_CORR_75","Sensible heat flux, corrected H_F_MDS by energy balance closure correction factor, 75th percentile","W m-2","","ICOS / FLUXNET"
"H_CORR_JOINTUNC","Joint uncertainty estimation for H; [SQRT(H_RANDUNC^2 + ((H_CORR75 - H_CORR25) / 1.349)^2)]","W m-2","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"H_CORR_JOINTUNC","Joint uncertainty estimation for H. [SQRT(H_RANDUNC^2 + ((H_CORR75 - H_CORR25) / 1.349)^2)]","W m-2","","ICOS / FLUXNET"
"H_DATA_FLAG","Flag for H (0: observed flux for which any quality control (QC) tests provided negligible evidences of error; 1: outlying flux rejected because at least one of the QC tests provided a moderate evidence of error; 2: flux removed because at least one of the","nondimensional","","ICOS"
"H_F_MDS","Sensible heat flux, gapfilled using MDS method;","W m-2","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"H_F_MDS","Sensible heat flux, gapfilled using MDS method","W m-2","","ICOS / FLUXNET"
"H_F_MDS_QC","Quality flag for H_F_MDS, H_CORR, H_CORR25, and H_CORR75.; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"H_F_MDS_QC","Quality flag for H_F_MDS, H_CORR, H_CORR25, and H_CORR75. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"H_FMR_FLAG","Flag for the FMR test for H (0: negligible evidences of error, IF FMR15)","nondimensional","","ICOS"
"H_FMR_STAT","Fraction of Missing Records in raw, high-frequency, data used for H flux estimation","%","","ICOS"
"H_LGD_FLAG","Flag for the LGD test for H (0: negligible evidences of error, IF LGD180)","nondimensional","","ICOS"
"H_LGD_STAT","Longest Gap Duration in raw, high-frequency, data used for H flux estimation","seconds","","ICOS"
"H_LSR_FLAG","Flag for the LSR test for H (0: negligible evidences of error, IF LSR_STAT>0.995; 1: moderate evidences of error, IF 0.99?LSR_STAT?0.995; 2: severe evidences of error, IF LSR_STAT","nondimensional","","ICOS"
"H_LSR_STAT","Statistic of the Low Signal Resolution test for H","nondimensional","","ICOS"
"H_M98_FLAG","Flag of the H_M98_STAT (0: negligible evidences of error, IF M_98_STAT3)","nondimensional","","ICOS"
"H_M98_STAT","Statistic of the nonstationarity ratio test by Mahrt (1998) for H","nondimensional","","ICOS"
"H_OOR_FLAG","Flag for H denoting values out of the physically plausible range (0: within range; 2: out of range).","nondimensional","","ICOS"
"H_OUTLYING_FLAG","Flag for H denoting outliers (0: no outlying flux; 1: outlying flux)","nondimensional","","ICOS"
"H_RANDUNC","Random uncertainty of H, from measured only data; uses only data point where H_F_MDS_QC is 0 and two hierarchical methods (see header and H_RANDUNC_METHOD)","W m-2","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"H_RANDUNC","Random uncertainty of H, from measured only data. uses only data point where H_F_MDS_QC is 0 and two hierarchical methods (see header and H_RANDUNC_METHOD)","W m-2","","ICOS / FLUXNET"
"H_RANDUNC_METHOD","Method used to estimate the random uncertainty of H; 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"H_RANDUNC_METHOD","Method used to estimate the random uncertainty of H. 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","","ICOS / FLUXNET"
"H_RANDUNC_N","Number of half-hour data points used to estimate the random uncertainty of H;","nondimensional","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"H_RANDUNC_N","Number of half-hour data points used to estimate the random uncertainty of H","nondimensional","","ICOS / FLUXNET"
"H_scf","Spectral correction factor for sensible heat flux","#","","EddyPro (_full_output_ file)"
"H_SCF_STAT","Spectral correction factor for H","nondimensional","","ICOS"
"H_SSITC_TEST","Results of the quality flagging for H according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)","nondimensional","","Ameriflux"
"H_SSITC_TEST","Quality flagging for H according to classification scheme by Foken et al (2004) and based on the combination of the results of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (0: high quality; 1:intermediate quality;","nondimensional","","ICOS"
"H_strg","Estimate of storage sensible heat flux","W m-2","","EddyPro (_full_output_ file)"
"H_UNCLEANED","Sensible heat turbulent flux (no storage correction, uncleaned)","W m-2","","ICOS"
"H2O","H2O molar fraction (in humid air), wet mole fraction","umol mol-1","","EC raw data files (ASCII)"
"H2O","Water (H2O) vapor in mole fraction of wet air","mmolH2O mol-1","","ICOS"
"H2O_CONC","H2O concentration density, molar density","mmol m-3","","EC raw data files (ASCII)"
"H2O_DRY","H2O dry mole fraction (in dry air), mixing ratio, ppt (parts per THOUSAND)","mmol mol-1","","EC raw data files (ASCII)"
"H2O_DRY","Water (H2O) vapor in mole fraction of dry air","mmolH2O mol-1","","ICOS"
"H2O_HD10_FLAG","Flag for the homogeneity test applied on differenced water vapor 0: negligible evidences of error, IF HD10_STAT1)","nondimensional","","ICOS"
"H2O_HD10_STAT","Statistic of the homogeneity test applied on differenced water vapor (percentage of data exceeding ñ10?)","%","","ICOS"
"H2O_HD5_FLAG","Flag for the homogeneity test applied on differenced water vapor (0: negligible evidences of error, IF HD5_STAT4)","nondimensional","","ICOS"
"H2O_HD5_STAT","Statistic of the homogeneity test applied on differenced water vapor (percentage of data exceeding ñ5?)","%","","ICOS"
"H2O_HF10_FLAG","Flag for the homogeneity test applied on water vapor fluctuations (0: negligible evidences of error, IF HF10_STAT1)","nondimensional","","ICOS"
"H2O_HF10_STAT","Statistic of the homogeneity test applied on water vapor fluctuations (percentage of data exceeding ñ10?)","%","","ICOS"
